"","DEGs.GENEID","DEGs.gene_name","DEGs.adj.P.Val","DEGs.logFC"
"546","ENSG00000256817.1","TPT1P12",9.05688048308927e-24,-2.26402379630156
"547","ENSG00000231487.1","AP006285.2",9.7796087371202e-24,-2.28248734789802
"548","ENSG00000211905.1","IGHJ1",1.07506337460433e-23,-2.55588742241797
"549","ENSG00000158104.11","HPD",1.1752505222564e-23,-2.04155281559958
"550","ENSG00000226372.3","DCAF8L1",1.39294506227188e-23,2.62009529515182
"551","ENSG00000137673.8","MMP7",1.41201556774649e-23,-2.7448925487309
"552","ENSG00000244067.2","GSTA2",1.43096219469531e-23,-2.33084094496225
"553","ENSG00000170166.5","HOXD4",1.74012545837684e-23,2.03685762716901
"554","ENSG00000211973.2","IGHV1-69",1.82714890295815e-23,-3.65080136026492
"555","ENSG00000236459.1","HNRNPA1P22",2.10239759252193e-23,-2.29130923192699
"556","ENSG00000253274.1","IGHV1-67",2.64466432978668e-23,-2.46589247018048
"557","ENSG00000253755.1","IGHGP",3.15189993989624e-23,-2.69564101508252
"558","ENSG00000164120.13","HPGD",3.27755557281967e-23,-2.42804069960768
"559","ENSG00000228705.1","LINC00659",3.37592924690523e-23,-2.35579345270919
"560","ENSG00000254056.1","IGHV3-71",3.86820269319112e-23,-2.5497619092127
"561","ENSG00000166148.3","AVPR1A",4.43075339370838e-23,-2.80888812428968
"562","ENSG00000278473.1","IGHV3-41",4.49772410406682e-23,-2.2811967553039
"563","ENSG00000197172.10","MAGEA6",4.73630579596355e-23,3.65143414596586
"564","ENSG00000270472.2","IGHV3OR16-9",4.91970899414896e-23,-2.74545433285948
"565","ENSG00000176566.4","DCAF4L2",5.04746843204586e-23,4.04449208321642
"566","ENSG00000243384.1","AC119424.1",5.24891475223944e-23,-2.25038734990935
"567","ENSG00000264781.1","MIR4537",5.34150823074163e-23,-2.23222591624987
"568","ENSG00000126562.16","WNK4",5.35943948514894e-23,2.29262653537457
"569","ENSG00000211592.8","IGKC",7.04720849470867e-23,-3.33018597260826
"570","ENSG00000229092.2","IGHV3-47",7.77058549483489e-23,-2.09900957722534
"571","ENSG00000221867.8","MAGEA3",8.54371187538551e-23,3.84724231693056
"572","ENSG00000282639.1","IGHV3-64D",9.22393310134797e-23,-3.36086219827683
"573","ENSG00000176076.7","KCNE5",9.74165447046659e-23,2.02961431531244
"574","ENSG00000271130.1","IGHV3OR16-8",1.31400753618203e-22,-2.82650542836704
"575","ENSG00000109193.11","SULT1E1",1.46876849380801e-22,-2.01931589588872
"576","ENSG00000223648.4","IGHV3-64",3.36140875046047e-22,-2.76354209935284
"577","ENSG00000185615.15","PDIA2",3.61486453703754e-22,2.09668666068763
"578","ENSG00000211935.3","IGHV1-3",3.66629584134018e-22,-3.10057336170842
"579","ENSG00000231475.3","IGHV4-31",4.37990601363201e-22,-3.32087062617986
"580","ENSG00000133055.8","MYBPH",5.56181371368509e-22,-2.78997362964636
"581","ENSG00000282600.2","IGHV3-69-1",7.65706530119638e-22,-2.89173399793971
"582","ENSG00000162391.11","FAM151A",8.63302367921573e-22,-2.52208579391288
"583","ENSG00000213886.3","UBD",1.24424819103285e-21,2.05923137444962
"584","ENSG00000139329.4","LUM",1.43562882586302e-21,-2.41803364181946
"585","ENSG00000221932.6","HEPN1",1.57570512117041e-21,-3.12955561297214
"586","ENSG00000204949.8","FAM83A-AS1",1.96686451930058e-21,-2.92481578550212
"587","ENSG00000182583.12","VCX",2.82969844700213e-21,2.50578658607562
"588","ENSG00000211896.7","IGHG1",2.9616444163217e-21,-3.46684494375766
"589","ENSG00000257453.1","AC011611.3",3.19768038577545e-21,-2.50645286025838
"590","ENSG00000179674.3","ARL14",3.2496891031461e-21,-2.33899715867205
"591","ENSG00000187664.8","HAPLN4",3.264228343895e-21,-2.28330761657832
"592","ENSG00000276775.1","IGHV4-4",3.45646686968809e-21,-3.44024711349911
"593","ENSG00000214822.8","KRT16P3",4.65894495638167e-21,-2.54119583963893
"594","ENSG00000181449.3","SOX2",5.53598796281953e-21,2.08155961846569
"595","ENSG00000117594.9","HSD11B1",5.80179605125464e-21,-2.10899775014769
"596","ENSG00000233377.1","MTND4P20",6.40057930060626e-21,-2.19363922996698
"597","ENSG00000262003.1","AC087392.1",7.38222536572614e-21,-2.37464971350962
"598","ENSG00000163017.13","ACTG2",8.2693698618089e-21,2.01584428056389
"599","ENSG00000280655.1","AC134981.1",8.34801421694064e-21,-2.33453293941729
"600","ENSG00000240671.4","IGKV1-8",2.07477440504427e-20,-3.56074576047167
