"","M_HCV_unfiltered.logFC","M_HCV_unfiltered.gene_name","M_HCV_unfiltered.adj.P.Val","F_HCV_unfiltered.logFC","F_HCV_unfiltered.gene_name","F_HCV_unfiltered.adj.P.Val","residuals"
"1388",-3.34525866302812,"AC135068.2",4.09915990349835e-16,-1.22991625173163,"AC135068.2",0.029010140846261,-2.05595373504898
"1389",-2.88745610344343,"IL1RL1",3.71657798382101e-16,-2.29519891353284,"IL1RL1",6.10494105249758e-06,-0.502976499718991
"1390",-4.01822463230027,"IGHV7-4-1",3.78607285798775e-16,-2.13450038980864,"IGHV7-4-1",0.00125959965408293,-1.79895278039902
"1397",-3.96786577527113,"IGHV3-64D",4.36691441383894e-16,-2.60118402839893,"IGHV3-64D",0.000126951391616426,-1.26881506195053
"1399",-2.21213154203001,"FAM43B",4.5772257782901e-16,-2.02355822473408,"FAM43B",2.21702673462969e-07,-0.106914911356688
"1411",-2.82571230552406,"IGHV1OR16-1",5.40225777409152e-16,-1.90018262765921,"IGHV1OR16-1",0.000111683691992697,-0.847333212310414
"1436",-2.33476069133086,"LONRF2",4.977409235636e-16,-1.79729971258383,"LONRF2",3.07596694661732e-07,-0.462151425410654
"1438",-2.04891403489628,"FMOD",4.98832251082757e-16,-1.17416532513288,"FMOD",0.00036835495858021,-0.816924414064873
"1458",-2.61654411548048,"AC134879.2",1.01694098104376e-15,-2.38988136702235,"AC134879.2",2.96878363105169e-07,-0.134725252405087
"1466",3.82408756870404,"AKR1B10",6.94793721480597e-16,4.43203976253008,"AKR1B10",2.20074938782477e-10,-0.707438973077812
"1471",-3.0652697794059,"LUM",6.75524818082597e-16,-2.0367026902878,"LUM",5.4745384115822e-05,-0.946539847224132
"1472",-2.92851629366184,"PTGDS",7.71205101929369e-16,-2.01277895742183,"PTGDS",2.26372265223247e-05,-0.834381398387744
"1501",-2.55017549077803,"CYP3A7",9.46952542919972e-16,-0.676407751870308,"CYP3A7",0.186853837189528,-1.82991060596728
"1503",-2.26520228089601,"RND2",1.45465780624695e-15,-1.01214398091738,"RND2",0.0123185407340923,-1.19978035094864
"1523",-2.02170240391936,"FPR1",1.66110385491432e-15,-1.34058668102984,"FPR1",0.00037866814444119,-0.618621615441072
"1524",-2.55840350663499,"PTGS2",1.6547558972986e-15,-2.07897798831736,"PTGS2",1.2545766714999e-05,-0.396212024320342
"1527",-3.43926396623271,"CYP26A1",1.86353194663037e-15,-2.82925384986786,"CYP26A1",1.17997847885998e-05,-0.505743753190603
"1533",-4.28839338013017,"KRT16P1",2.44537109905575e-15,-4.1381815617742,"KRT16P1",9.08245863733987e-08,-0.00921671940190865
"1581",-2.14611016470072,"AC254629.1",4.39022078746131e-15,-2.9279058327014,"AC254629.1",1.01017324112741e-12,0.888830222709637
"1582",2.05789877371999,"THSD8",3.94159039299471e-15,1.82010036444343,"THSD8",2.12305919170165e-07,0.211603096889289
"1584",-2.69106792344296,"MT1JP",3.98860587428774e-15,-2.82675181528086,"MT1JP",7.01520203722418e-08,0.239880047493105
"1588",2.24592782690927,"KRT17P8",3.93825719858848e-15,2.33815733917549,"KRT17P8",7.70275893263678e-08,-0.132961592093546
"1589",-2.13935466093881,"CD69",3.57305998282704e-15,-1.78491541123049,"CD69",3.76488928201384e-06,-0.279477201989013
"1616",2.2953665509175,"AC245100.6",7.04308188785248e-15,1.19650489788585,"AC245100.6",0.00542920927045152,1.09016453624093
"1624",-2.51146878410158,"IGHV1-12",7.58448513091137e-15,-1.94628621272278,"IGHV1-12",2.58510035238638e-05,-0.485692431331189
"1627",-2.44941151797414,"CH25H",6.47332135287554e-15,-2.72267215574995,"CH25H",8.73073872244332e-09,0.374536300358562
"1634",-2.23592955676574,"NNMT",5.06162751831134e-15,-1.44706894048334,"NNMT",0.00038210626150146,-0.723378598396171
