"","M_HCV_unfiltered.logFC","M_HCV_unfiltered.gene_name","M_HCV_unfiltered.adj.P.Val","F_HCV_unfiltered.logFC","F_HCV_unfiltered.gene_name","F_HCV_unfiltered.adj.P.Val","residuals"
"113",-3.50458038532992,"C6orf141",4.9207141229971e-36,-3.21286520711673,"C6orf141",1.36989442376501e-17,-0.176684614652346
"115",-4.61766497591899,"NPTX2",5.51001828810078e-36,-3.29099411975689,"NPTX2",2.50469931085507e-12,-1.20944798193122
"119",-2.98970485620739,"ADRA1A",1.30009263444464e-35,-2.78547846729532,"ADRA1A",2.27428761450539e-15,-0.101188370470341
"120",-3.65618291657717,"GPR182",1.52838443271673e-35,-3.20618161880647,"GPR182",6.01211401692505e-14,-0.335158276842559
"121",-4.51741454657571,"CLRN3",1.74375099200314e-35,-3.49450977799149,"CLRN3",9.30209145085994e-13,-0.899971210126574
"123",-4.10321002279291,"HAND2",2.64554934020125e-35,-3.46575827987046,"HAND2",2.97364931444665e-15,-0.51532495642643
"124",-3.00652556774292,"CETP",2.76114081734133e-35,-2.62435801837761,"CETP",7.63466072630488e-14,-0.283650598315764
"128",-3.33179462790979,"AC010280.2",3.54618250150548e-35,-3.32555719796959,"AC010280.2",1.51053668917886e-17,0.111955290185048
"129",-3.42678223817149,"AGAP1-IT1",4.83254952634782e-35,-2.01795328613449,"AGAP1-IT1",1.95230047252937e-08,-1.32732782163484
"130",-3.41093812143773,"TTC36",5.20655330596918e-35,-4.36198077722934,"TTC36",7.72358340461752e-21,1.09831759906206
"131",-3.84983082361162,"UROC1",6.53789423117434e-35,-2.24432534305261,"UROC1",5.62893553798525e-09,-1.51765231146835
"132",-2.85265285520251,"DNM3OS",7.81633900318627e-35,-2.55518366651336,"DNM3OS",6.88135526429607e-16,-0.200893281800601
"133",-4.45733520761899,"CA9",1.72876681564702e-34,-2.22284503382073,"CA9",4.34485793666175e-07,-2.14723974586364
"135",-3.022283133033,"PLGLA",2.32517977724855e-34,-2.73150578514864,"PLGLA",1.18226194014919e-14,-0.18925381214772
"138",-3.75884115686701,"DBH",2.99631857790784e-34,-2.98726808510613,"DBH",1.35112737585833e-13,-0.662872802082307
"140",-3.84210406405775,"AL390719.2",3.86241137343872e-34,-3.37719342624508,"AL390719.2",1.24714443230767e-15,-0.34526899627813
"141",-2.79710374868626,"CYP39A1",4.3587399895674e-34,-2.99766252377649,"CYP39A1",9.6203091916884e-19,0.309550714498179
"143",3.56363888538123,"ESM1",9.37877770825573e-34,2.71023028592902,"ESM1",2.2177742771724e-11,0.802236089013003
"144",-3.6437475868421,"AC092384.2",1.08550234553235e-33,-3.9163815922315,"AC092384.2",6.0081789862038e-19,0.407405359209789
"146",-3.7701310461267,"PRSS8",1.33487194681736e-33,-3.54520262045395,"PRSS8",8.4988718956679e-16,-0.100572417373302
"150",-2.6500865669886,"KDM8",2.58786666333307e-33,-2.60378039559583,"KDM8",1.98996508296342e-17,0.051633368037132
"152",-4.43228403367102,"HSD17B13",2.65360408378491e-33,-4.42658587641413,"HSD17B13",6.14421089972263e-19,0.143389616161784
"154",4.50785805624847,"ZIC5",3.41900702676807e-33,5.51279331478193,"ZIC5",2.95891007689646e-28,-1.13474816756511
"156",-4.142640158848,"GLS2",4.82888749834602e-33,-2.54398249846179,"GLS2",2.78068488495992e-09,-1.50239606019164
